time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.16970643825e-05,4.55679931655e-06,10.0070341047,0.00116786806365,0.0073900767214,0.0,-0.00192273681964,0.000281234086404,0.234448644408,0.0106989617403,0.0286035192307,0.0,475.82373381068885,478.0079983869103,477.9959538143841,478.81038749641453
0.12000000000000001,-0.000347071187381,6.29895137589e-05,10.0278033669,0.00433399055259,0.0115266968404,0.0,-0.00910878670325,0.00202769230865,0.457791433018,0.0269443321399,0.0103186690323,0.0,476.37152710229583,474.9715350610694,472.7382823656306,473.98811393270137
0.18,-0.00128358601065,0.000305879482632,10.063651178,0.00600701391345,0.0308959839467,0.0,-0.0245368798183,0.00628805234429,0.736953039579,0.0228799909318,0.0565681198126,0.0,489.1711647241631,492.60283269032027,490.79871314942574,490.4970684773996
0.23999999999999996,-0.00358897837021,0.000877446983123,10.1156485307,0.0152874130598,0.0404032294693,0.0,-0.0535328822168,0.0138905557896,0.996049683266,0.052507620767,0.0282566182831,0.0,486.98648692032,484.86563482241723,483.95533772970896,486.18033098348445
0.3,-0.00776713516356,0.00208290682241,10.1811441087,0.0186868289267,0.0454253727554,0.0,-0.0862899453018,0.0266755808717,1.18692617162,0.0569033619843,0.0470726904498,0.0,465.92663601952995,467.39567309896796,465.3395545705519,465.68527296186295
0.36000000000000004,-0.0138773832051,0.00409506626229,10.2549713662,0.0278222918176,0.0484718475667,0.0,-0.117681794795,0.0412835035091,1.27385393037,0.0819325742262,0.0511728194996,0.0,434.49144911570096,434.8365212771025,433.1729709037901,435.27573480508215
0.4200000000000001,-0.0220071211569,0.00719634422426,10.3354658638,0.0327325353891,0.0519479111371,0.0,-0.153683938274,0.0626140168692,1.40910109558,0.0816014999696,0.0428927198012,0.0,448.993743849832,448.3229670120716,451.23150235264995,451.21009424384295
0.48000000000000015,-0.0324561920728,0.0117173621865,10.4250481754,0.0378046471399,0.0626040822313,0.0,-0.195837497751,0.0886407128878,1.576666135,0.0851511265678,0.0105260254087,0.0,461.5739093301662,459.01313532510443,460.1384986936419,460.424710601487
0.5400000000000001,-0.0455433671716,0.0178727697428,10.5232324848,0.0459965024396,0.0634735966284,0.0,-0.240490373666,0.117412769613,1.69592612837,0.0646795343747,0.0038493342562,0.0,446.11032519082136,445.564741409854,447.1182150590593,445.4523162905139
0.6000000000000002,-0.0612567756419,0.0258903080035,10.6273935475,0.0597749049739,0.0649916415209,0.0,-0.283447703694,0.151163657325,1.77590200823,0.0979632154016,-0.00983620321636,0.0,434.5710679156921,433.42248940137614,432.8237689416119,435.6204921098703
0.6600000000000003,-0.0798667281149,0.0364586639195,10.7408734529,0.065709445784,0.0646414588415,0.0,-0.336827151075,0.201815535715,2.00633095367,0.0938901128902,-0.0165351890674,0.0,480.5891827707015,480.0813261720772,480.7805817428449,480.4791088029067
0.7200000000000003,-0.101672176845,0.0502109193853,10.868040463,0.0736498706913,0.0666946405898,0.0,-0.390222507109,0.257501297664,2.23206044627,0.109371318589,0.00141879950737,0.0,478.8951341968272,480.25887570140304,479.88551473272065,481.0667860087106
0.7800000000000004,-0.126418190631,0.0671485125351,11.00410876,0.081062995931,0.0678811911579,0.0,-0.434743889531,0.307787451489,2.30333021765,0.118346209391,0.011777843729,0.0,434.2485273532629,435.11651600489864,432.5495204929946,433.3162257383852
0.8400000000000004,-0.154133857391,0.0876093543835,11.1483065953,0.0980027414486,0.0707347611019,0.0,-0.489439283849,0.376139224695,2.50262780334,0.151527305836,-0.00551770578735,0.0,474.99698392987847,473.6687304500767,472.1398279896294,474.70708419739765
0.9000000000000005,-0.185157456561,0.112511876921,11.3037621878,0.115618175894,0.0746221074918,0.0,-0.54512283734,0.455929334768,2.6785450751,0.118321743781,-0.0292487941404,0.0,469.0562000129793,467.20974485467934,469.7069562501573,467.1421264447328
0.9600000000000005,-0.219367621785,0.142197205105,11.466537953,0.126806932873,0.0777990332096,0.0,-0.595542058617,0.534620925251,2.74695846995,0.139305961217,-0.0548059778701,0.0,438.37492455239345,436.2453257718566,434.23290014267735,436.00432004377564
1.0200000000000005,-0.256840535003,0.177174770528,11.6359299582,0.143374988341,0.0745104633296,0.0,-0.653169550847,0.633028325265,2.8988083807,0.169515243437,-0.0571960134023,0.0,463.15301821590936,462.96305252127536,462.0869044832999,464.4822053371595
1.0800000000000005,-0.297342306637,0.217704277133,11.8095388485,0.157260434395,0.0733897025098,0.0,-0.696786033938,0.719157526498,2.88796237745,0.14716738996,-0.0417001860749,0.0,410.6644969278342,412.0347423546046,413.6939831286028,411.74877026743144
1.1400000000000006,-0.34088250342,0.264580003966,11.9884309775,0.166079440255,0.0711320631317,0.0,-0.754267942236,0.844286171338,3.07440870756,0.146309677837,-0.0484470578774,0.0,476.87944996526164,476.3628558692442,474.17988169370994,474.13272045518767
1.2000000000000006,-0.387636450256,0.3187284619,12.175859105,0.176281109771,0.0703325325054,0.0,-0.804084029837,0.961621678172,3.17268322747,0.158231671658,-0.033700014793,0.0,450.17391747184917,451.3646091490751,448.44231632199853,449.43069830510314
1.2600000000000007,-0.437303139514,0.379979997442,12.3683265697,0.18713730642,0.0684463412353,0.0,-0.851281809241,1.08108405197,3.24244311887,0.169872628747,-0.039111795055,0.0,442.4147474832716,441.9683608200507,441.10760675093763,442.0930940537943
